SEASON,TEAM,MATCH_DATE,RESULT,LAST_1,LAST_2,LAST_3,LAST_4,LAST_5,FORM_SCORE
2021,Hellas Verona,2020-10-04,Parma,W,W,,,,6
2021,Hellas Verona,2020-10-25,Juventus,D,L,W,W,,8
2021,Hellas Verona,2020-11-22,Sassuolo,D,W,D,D,L,6
2021,Hellas Verona,2020-11-02,Benevento,D,D,L,W,W,8
2021,Hellas Verona,2020-10-19,Genoa,L,W,W,,,7
2021,Hellas Verona,2021-01-24,Napoli,L,W,D,W,L,10
2021,Hellas Verona,2021-05-13,Crotone,D,D,L,L,L,2
2021,Hellas Verona,2021-05-09,Torino,D,L,L,L,L,2
2021,Hellas Verona,2021-05-01,Spezia,L,L,L,L,W,1
2021,Hellas Verona,2021-04-25,Inter,L,L,L,W,L,3
2021,Hellas Verona,2021-04-20,Fiorentina,L,L,W,L,L,3
2021,Hellas Verona,2021-04-17,Sampdoria,L,W,L,L,L,3
2021,Hellas Verona,2021-04-11,Lazio,W,L,L,L,W,3
2021,Hellas Verona,2021-03-21,Atalanta,L,L,W,D,D,4
2021,Hellas Verona,2021-03-13,Sassuolo,L,W,D,D,W,5
2021,Hellas Verona,2021-03-07,Milan,W,D,D,W,L,8
2021,Hellas Verona,2021-03-03,Benevento,D,D,W,L,L,8
2021,Hellas Verona,2021-02-27,Juventus,D,W,L,L,W,5
2021,Hellas Verona,2021-02-20,Genoa,W,L,L,W,L,7
2021,Hellas Verona,2021-02-15,Parma,L,L,W,L,W,6
2021,Hellas Verona,2021-02-07,Udinese,L,W,L,W,D,6
2021,Hellas Verona,2021-01-16,Bologna,W,D,W,L,D,7
2021,Hellas Verona,2020-12-06,Cagliari,W,L,D,W,D,8
2021,Hellas Verona,2020-09-19,Roma,,,,,,3
2021,Internazionale,2020-12-05,Bologna,W,W,D,D,W,11
2021,Internazionale,2021-01-17,Juventus,D,L,W,W,W,10
2021,Internazionale,2021-01-23,Udinese,W,D,L,W,W,8
2021,Internazionale,2021-01-30,Benevento,D,W,D,L,W,8
2021,Internazionale,2021-01-10,Roma,L,W,W,W,W,10
2021,Internazionale,2021-01-06,Sampdoria,W,W,W,W,W,12
2021,Internazionale,2021-01-03,Crotone,W,W,W,W,W,15
2021,Internazionale,2020-12-23,Hellas Verona,W,W,W,W,W,15
2021,Internazionale,2020-12-20,Spezia,W,W,W,W,W,15
2021,Internazionale,2020-12-13,Cagliari,W,W,W,D,D,13
2021,Internazionale,2021-05-15,Juventus,W,W,W,W,D,12
2021,Internazionale,2020-11-28,Sassuolo,W,D,D,W,L,11
2021,Internazionale,2020-11-08,Atalanta,D,W,L,D,W,6
2021,Internazionale,2020-10-31,Parma,W,L,D,W,W,8
2021,Internazionale,2020-10-24,Genoa,L,D,W,W,,10
2021,Internazionale,2020-10-17,Milan,D,W,W,,,7
2021,Internazionale,2020-12-16,Napoli,W,W,W,W,D,15
2021,Internazionale,2021-05-23,Udinese,L,W,W,W,W,12
2021,Internazionale,2021-05-12,Roma,W,W,W,D,D,13
2021,Internazionale,2021-03-14,Torino,W,W,W,W,W,15
2021,Internazionale,2021-05-08,Sampdoria,W,W,D,D,W,11
2021,Internazionale,2021-05-01,Crotone,W,D,D,W,W,11
2021,Internazionale,2021-04-25,Hellas Verona,D,D,W,W,W,11
2021,Internazionale,2021-04-21,Spezia,D,W,W,W,W,11
2021,Internazionale,2021-02-05,Fiorentina,W,D,W,D,L,11
2021,Internazionale,2021-04-11,Cagliari,W,W,W,W,W,15
2021,Internazionale,2021-04-07,Sassuolo,W,W,W,W,W,15
2021,Internazionale,2020-10-04,Lazio,W,W,,,,7
2021,Internazionale,2020-09-26,Fiorentina,,,,,,3
2021,Internazionale,2021-04-03,Bologna,W,W,W,W,W,15
2021,Internazionale,2021-03-08,Atalanta,W,W,W,W,W,15
2021,Internazionale,2021-03-04,Parma,W,W,W,W,W,15
2021,Internazionale,2021-02-28,Genoa,W,W,W,W,D,15
2021,Internazionale,2021-02-21,Milan,W,W,W,D,W,13
2021,Internazionale,2021-02-14,Lazio,W,W,D,W,D,13
2021,Internazionale,2021-04-18,Napoli,W,W,W,W,W,13
2021,Internazionale,2020-09-30,Benevento,W,,,,,6
2021,Internazionale,2020-11-22,Torino,D,D,W,L,D,8
2021,Juventus,2021-03-14,Cagliari,W,W,D,W,L,13
2021,Juventus,2021-02-06,Roma,W,W,L,W,W,12
2021,Juventus,2020-12-05,Torino,D,W,D,W,D,11
2021,Juventus,2021-04-03,Torino,L,W,W,W,D,10
2021,Juventus,2021-02-13,Napoli,W,W,W,L,W,9
2021,Juventus,2021-02-22,Crotone,L,W,W,W,L,12
2021,Juventus,2021-02-27,Hellas Verona,W,L,W,W,W,10
2021,Juventus,2021-03-02,Spezia,D,W,L,W,W,10
2021,Juventus,2021-01-30,Sampdoria,W,L,W,W,W,12
2021,Juventus,2021-03-06,Lazio,W,D,W,L,W,10
2021,Juventus,2020-12-16,Atalanta,W,W,D,W,D,11
2021,Juventus,2021-03-21,Benevento,W,W,W,D,W,10
2021,Juventus,2020-09-20,Sampdoria,,,,,,3
2021,Juventus,2021-04-11,Genoa,W,D,L,W,W,10
2021,Juventus,2021-04-18,Atalanta,W,W,D,L,W,7
2021,Juventus,2021-04-21,Parma,L,W,W,D,L,10
2021,Juventus,2021-01-24,Bologna,L,W,W,W,L,12
2021,Juventus,2021-01-17,Inter,W,W,W,L,W,9
2021,Juventus,2021-04-25,Fiorentina,W,L,W,W,D,10
2021,Juventus,2020-10-25,Hellas Verona,D,D,W,,,6
2021,Juventus,2020-11-08,Lazio,W,D,D,D,W,7
2021,Juventus,2021-05-02,Udinese,D,W,L,W,W,10
2021,Juventus,2021-05-09,Milan,W,D,W,L,W,7
2021,Juventus,2021-05-12,Sassuolo,L,W,D,W,L,10
2021,Juventus,2021-05-15,Inter,W,L,W,D,W,10
2021,Juventus,2021-04-07,Napoli,D,L,W,W,W,10
2021,Juventus,2020-09-27,Roma,W,,,,,4
2021,Juventus,2020-10-17,Crotone,D,W,,,,5
2021,Juventus,2021-01-10,Sassuolo,W,W,L,W,D,12
2021,Juventus,2021-05-23,Bologna,W,W,L,W,D,12
2021,Juventus,2020-11-01,Spezia,D,D,D,W,,9
2021,Juventus,2020-12-13,Genoa,W,D,W,D,W,11
2021,Juventus,2020-11-21,Cagliari,D,W,D,D,D,9
2021,Juventus,2020-11-28,Benevento,W,D,W,D,D,9
2021,Juventus,2021-01-06,Milan,W,L,W,D,W,10
2021,Juventus,2021-01-03,Udinese,L,W,D,W,W,10
2021,Juventus,2020-12-22,Fiorentina,W,D,W,W,D,10
2021,Juventus,2020-12-19,Parma,D,W,W,D,W,11
2021,Lazio,2020-12-12,Hellas Verona,W,L,W,D,W,7
2021,Lazio,2021-05-15,Roma,W,L,W,W,L,9
2021,Lazio,2021-05-18,Torino,L,W,L,W,W,7
2021,Lazio,2020-09-26,Cagliari,,,,,,3
2021,Lazio,2021-05-23,Sassuolo,D,L,W,L,W,4
2021,Lazio,2020-09-30,Atalanta,W,,,,,3
